_id,rsn,year_registered,year_evaluated,year_built,property_type,ward,wardname,site_address,confirmed_storeys,confirmed_units,evaluation_completed_on,score,results_of_score,no_of_areas_evaluated,entrance_lobby,entrance_doors_windows,security,stairwells,laundry_rooms,internal_guards_handrails,garbage_chute_rooms,garbage_bin_storage_area,elevators,storage_areas_lockers,interior_wall_ceiling_floor,interior_lighting_levels,graffiti,exterior_cladding,exterior_grounds,exterior_walkways,balcony_guards,water_pen_ext_bldg_elements,parking_area,other_facilities,grid,latitude,longitude,x,y
14,5207679,2023,,2022,PRIVATE,12,Toronto-St. Paul's,215 LONSDALE RD,20,177,2023-01-23,100,Evaluation needs to be conducted in 3 years,19,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,S1231,,,312559.07,4838724.578
15,5175953,2022,,2022,PRIVATE,10,Spadina-Fort York,57 SPADINA AVE,36,286,2023-01-20,100,Evaluation needs to be conducted in 3 years,20,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,S1033,43.64495623,-79.39447144,313302.359,4833678.686
16,5199841,,,2021,PRIVATE,3,Etobicoke-Lakeshore,5249 DUNDAS ST W,42,333,2023-01-19,99,Evaluation needs to be conducted in 3 years,19,5,5,5,5,,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,W0323,,,301782.82,4832967.103
17,4154229,2017,,1968,PRIVATE,7,Humber River-Black Creek,2770 JANE ST,4,144,2023-01-19,85,Evaluation needs to be conducted in 2 years,19,4,4,5,4,4,5,4,4,4,4,5,5,5,4,4,4,4,5,3,,W0729,43.74740062,-79.51594667,303500.287,4845048.686
18,5156112,2022,,1958,PRIVATE,12,Toronto-St. Paul's,210 VAUGHAN RD,4,25,2023-01-19,75,Evaluation needs to be conducted in 2 years,15,3,3,5,5,3,4,,4,,,3,3,5,3,4,4,,4,3,,S1229,43.68731136,-79.42346382,310954.409,4838376.712
19,5156053,2023,,2018,PRIVATE,12,Toronto-St. Paul's,109 VAUGHAN RD,9,51,2023-01-19,96,Evaluation needs to be conducted in 3 years,19,5,5,5,5,,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,S1229,43.68419571,-79.42096466,311156.469,4838029.782
20,5144485,2022,,2021,PRIVATE,4,Parkdale-High Park,50 HIGH PARK AVE,25,264,2023-01-18,98,Evaluation needs to be conducted in 3 years,19,5,5,5,3,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,S0428,43.65549793,-79.46656407,307481.141,4834840.141
21,5144479,2022,,2020,PRIVATE,4,Parkdale-High Park,55 QUEBEC AVE,25,264,2023-01-18,98,Evaluation needs to be conducted in 3 years,19,5,5,5,3,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,S0428,,,307442.641,4834735.62
22,5156165,2022,,1960,PRIVATE,20,Scarborough Southwest,568 BIRCHMOUNT RD,7,61,2023-01-18,83,Evaluation needs to be conducted in 2 years,19,5,3,5,5,5,3,5,5,5,3,3,3,5,3,5,5,5,3,3,,E2029,43.71279453,-79.2713035,323213.731,4841229.257
23,4153885,2017,,1955,PRIVATE,12,Toronto-St. Paul's,567 AVENUE RD,11,63,2022-12-30,91,Evaluation needs to be conducted in 3 years,18,4,5,5,5,4,5,,5,5,5,4,5,5,4,4,5,5,4,3,,S1232,43.68840293,-79.40160629,312716.449,4838499.822
24,4155488,2017,,1955,PRIVATE,3,Etobicoke-Lakeshore,2532 LAKE SHORE BLVD W,4,46,2022-12-30,75,Evaluation needs to be conducted in 2 years,15,5,4,5,3,3,2,,4,,,3,4,4,5,3,4,,4,3,,W0336,43.61098218,-79.49038094,305560.767,4829893.29
25,4154233,2017,,1970,PRIVATE,7,Humber River-Black Creek,2970 JANE ST,14,164,2022-12-30,86,Evaluation needs to be conducted in 3 years,18,5,4,5,4,5,4,4,4,4,,4,5,5,4,4,4,4,4,4,,W0729,43.75538253,-79.51782018,303349.587,4845935.472
26,4156565,2017,,1968,PRIVATE,5,York South-Weston,15 HARDING AVE,19,335,2022-12-30,74,Evaluation needs to be conducted in 2 years,20,5,4,5,3,3,3,4,4,4,2,3,5,5,3,3,4,4,4,2,4,W0528,,,304655.788,4839682.129
27,4156367,2017,,1954,PRIVATE,5,York South-Weston,4 GREENBROOK DR,3,23,2022-12-30,79,Evaluation needs to be conducted in 2 years,15,3,5,5,3,4,3,,4,,,4,3,5,4,4,5,,4,3,,W0532,43.69726946,-79.47635434,306690.437,4839479.496
28,4155473,2017,,1959,SOCIAL HOUSING,3,Etobicoke-Lakeshore,110 STANLEY AVE,3,16,2022-12-30,74,Evaluation needs to be conducted in 2 years,16,3,3,4,3,4,2,,5,,,3,4,5,4,4,4,3,4,4,,W0336,43.61512819,-79.4949708,305189.979,4830354.824
29,4156439,2017,,1993,SOCIAL HOUSING,5,York South-Weston,33 GABIAN WAY,18,248,2022-12-30,89,Evaluation needs to be conducted in 3 years,19,5,5,5,4,5,5,4,4,4,5,5,4,5,4,5,5,,4,2,5,W0533,43.69311972,-79.46886392,307294.354,4839018.662
30,4155297,2017,,1960,PRIVATE,3,Etobicoke-Lakeshore,2645 BLOOR ST W,5,42,2022-12-30,91,Evaluation needs to be conducted in 3 years,19,5,5,5,5,4,3,4,5,5,4,5,4,5,5,5,5,5,4,3,,W0327,43.64894689,-79.49435655,305239.348,4834111.89
31,4155295,2017,,1927,PRIVATE,3,Etobicoke-Lakeshore,2651 BLOOR ST W,4,34,2022-12-30,74,Evaluation needs to be conducted in 2 years,17,3,4,5,3,2,4,,4,,3,3,4,5,4,3,5,4,4,3,,W0327,43.64923027,-79.49533657,305160.274,4834143.367
32,4155294,2017,,1940,PRIVATE,3,Etobicoke-Lakeshore,2655 BLOOR ST W,5,45,2022-12-30,79,Evaluation needs to be conducted in 2 years,17,4,4,5,4,3,2,,4,,4,3,5,5,4,5,4,4,4,3,,W0327,43.64946144,-79.49568394,305101.599,4834184.139
33,4154257,2017,,1960,PRIVATE,7,Humber River-Black Creek,3 DAMASK AVE,3,10,2022-12-30,83,Evaluation needs to be conducted in 2 years,15,3,5,5,3,3,5,,4,,,3,5,5,4,5,5,,3,4,,W0728,43.74169353,-79.5396641,301589.804,4844415.332
34,4155235,2017,,1958,PRIVATE,3,Etobicoke-Lakeshore,169 BERRY RD,4,25,2022-12-30,81,Evaluation needs to be conducted in 2 years,17,4,4,5,4,4,4,,4,,3,5,5,4,3,4,4,5,4,3,,W0329,43.63712352,-79.48741151,305800.066,4832797.477
35,4155494,2017,,1952,PRIVATE,3,Etobicoke-Lakeshore,2547 LAKE SHORE BLVD W,4,26,2022-12-30,78,Evaluation needs to be conducted in 2 years,16,4,4,4,4,3,3,,4,,4,4,5,5,3,5,3,,4,3,,W0336,43.60930355,-79.48920097,305656.036,4829706.813
36,4155481,2017,,1957,PRIVATE,3,Etobicoke-Lakeshore,2303 LAKE SHORE BLVD W,4,38,2022-12-30,96,Evaluation needs to be conducted in 3 years,15,5,4,5,5,5,5,,5,,,5,5,5,5,4,5,,4,5,,W0336,43.6181574,-79.4862044,305864.468,4830685.073
37,4155480,2017,,1954,PRIVATE,3,Etobicoke-Lakeshore,2309 LAKE SHORE BLVD W,4,28,2022-12-30,70,Evaluation needs to be conducted in 2 years,16,3,3,4,3,3,4,,3,,2,3,4,5,4,3,4,,4,4,,W0336,43.61771592,-79.4864922,305843.963,4830639.407
38,4155477,2017,,1958,PRIVATE,3,Etobicoke-Lakeshore,2355 LAKE SHORE BLVD W,4,86,2022-12-30,69,Evaluation needs to be conducted in 2 years,17,4,4,4,2,2,2,,3,4,,3,4,3,3,4,4,5,4,4,,W0336,43.61606574,-79.48769628,305777.4,4830458.074
39,4155476,2017,,1960,PRIVATE,3,Etobicoke-Lakeshore,2361 LAKE SHORE BLVD W,4,47,2022-12-30,82,Evaluation needs to be conducted in 2 years,17,4,5,5,4,3,4,,3,5,,4,5,3,4,5,4,4,3,5,,W0336,43.61586825,-79.48780847,305768.347,4830436.132
40,4155475,2017,,1959,PRIVATE,3,Etobicoke-Lakeshore,2369 LAKE SHORE BLVD W,4,87,2022-12-30,74,Evaluation needs to be conducted in 2 years,17,3,3,5,3,4,4,,3,5,,3,4,4,4,3,3,4,3,5,,W0336,43.61573664,-79.48788214,305762.403,4830421.51
41,4155474,2017,,1970,PRIVATE,3,Etobicoke-Lakeshore,2377 LAKE SHORE BLVD W,4,23,2022-12-30,72,Evaluation needs to be conducted in 2 years,18,4,3,5,4,4,2,,3,3,3,3,3,5,3,5,3,4,4,4,,W0336,43.61544047,-79.48788925,305761.833,4830388.607
42,4155227,2017,,1957,PRIVATE,3,Etobicoke-Lakeshore,301 PARK LAWN RD,5,39,2022-12-30,76,Evaluation needs to be conducted in 2 years,18,4,4,5,3,4,5,,4,3,4,3,3,5,4,3,3,5,3,3,,W0329,43.63505124,-79.49246019,305392.658,4832567.215
43,4155234,2017,,1947,PRIVATE,3,Etobicoke-Lakeshore,3 NEWHOLM RD,4,25,2022-12-30,79,Evaluation needs to be conducted in 2 years,17,4,5,5,4,4,4,,3,,4,4,3,5,4,4,4,4,3,3,,W0329,43.63607875,-79.48763014,305782.438,4832681.407
44,4155233,2017,,1955,PRIVATE,3,Etobicoke-Lakeshore,5 NEWHOLM RD,4,27,2022-12-30,68,Evaluation needs to be conducted in 2 years,17,3,3,5,3,4,4,,4,,3,3,3,4,2,4,3,3,3,4,,W0329,43.63564469,-79.48740666,305800.477,4832633.187
45,4154231,2017,,1970,PRIVATE,7,Humber River-Black Creek,2940 JANE ST,13,153,2022-12-30,82,Evaluation needs to be conducted in 2 years,18,5,4,5,4,5,4,4,3,4,,4,3,5,4,4,4,4,4,4,,W0729,43.75372838,-79.51778801,303352.137,4845751.71
46,4152911,2017,,1960,PRIVATE,4,Parkdale-High Park,111 RUNNYMEDE RD,4,16,2022-12-29,80,Evaluation needs to be conducted in 2 years,15,4,4,4,4,3,2,,4,,5,4,4,5,4,4,5,,4,,,S0430,43.65056338,-79.47573805,306741.319,4834291.715
47,4155226,2017,,1947,PRIVATE,3,Etobicoke-Lakeshore,285 PARK LAWN RD,4,29,2022-12-29,73,Evaluation needs to be conducted in 2 years,17,3,4,4,3,4,3,,3,,3,3,5,5,4,3,3,5,3,4,,W0329,43.63456195,-79.49226649,305408.295,4832512.859
48,4152905,2017,,1993,SOCIAL HOUSING,4,Parkdale-High Park,93 LAVINIA AVE,5,68,2022-12-29,91,Evaluation needs to be conducted in 3 years,19,5,5,5,5,4,5,5,4,4,,4,5,5,4,5,4,4,4,4,5,S0430,43.64730834,-79.47771296,306582.355,4833929.1
49,4155237,2017,,1958,PRIVATE,3,Etobicoke-Lakeshore,8 NEWHOLM RD,4,26,2022-12-29,76,Evaluation needs to be conducted in 2 years,17,4,4,3,3,3,3,,3,,3,4,5,5,3,5,5,5,3,4,,W0329,43.63548222,-79.48822241,305734.649,4832615.13
50,4152933,2017,,1973,PRIVATE,4,Parkdale-High Park,299 GLENLAKE AVE,30,233,2022-12-29,81,Evaluation needs to be conducted in 2 years,19,5,4,5,4,5,5,3,3,4,4,4,4,5,4,5,4,2,4,3,,S0428,43.65688848,-79.4653643,307575.602,4834997.723
51,4155221,2017,,1970,PRIVATE,3,Etobicoke-Lakeshore,620 EVANS AVE,3,25,2022-12-29,71,Evaluation needs to be conducted in 2 years,17,4,2,5,4,3,3,,4,,4,3,4,5,3,4,4,3,3,2,,W0330,43.61080228,-79.55039892,300715.866,4829875.377
52,4290959,2018,,1962,PRIVATE,3,Etobicoke-Lakeshore,25 ELIZABETH ST,3,29,2022-12-29,81,Evaluation needs to be conducted in 2 years,16,4,4,5,4,4,4,,3,,4,4,4,5,4,4,4,4,4,,,W0336,43.61357646,-79.49493574,305192.817,4830182.433
53,4281929,2017,,1952,PRIVATE,2,Etobicoke Centre,7 BEXHILL CRT,4,13,2022-12-29,83,Evaluation needs to be conducted in 2 years,15,4,4,5,4,4,2,,4,,4,4,4,5,4,5,5,,4,,,W0229,43.66175101,-79.52132539,303064.075,4835534.621
54,4152903,2017,,1940,PRIVATE,4,Parkdale-High Park,2555 BLOOR ST W,4,34,2022-12-29,82,Evaluation needs to be conducted in 2 years,17,4,4,5,5,3,4,,5,,4,4,4,5,4,5,3,3,4,4,,S0430,43.64764025,-79.49069148,305535.289,4833965.806
55,4152898,2020,,1958,PRIVATE,4,Parkdale-High Park,93 COE HILL DR,4,33,2022-12-29,80,Evaluation needs to be conducted in 2 years,18,3,4,5,3,3,4,,4,4,5,4,4,5,4,4,4,4,4,4,,S0430,43.64144225,-79.47244495,307007.546,4833277.515
56,4155210,2017,,1949,PRIVATE,3,Etobicoke-Lakeshore,2688 BLOOR ST W,4,21,2022-12-29,83,Evaluation needs to be conducted in 2 years,15,4,4,5,4,4,3,,4,,,4,5,5,4,4,5,,3,4,,W0322,43.65031426,-79.49711691,305016.898,4834262.829
57,4155211,2017,,1949,PRIVATE,3,Etobicoke-Lakeshore,2690 BLOOR ST W,4,18,2022-12-29,81,Evaluation needs to be conducted in 2 years,16,4,4,5,4,4,3,,4,,4,4,5,5,4,4,4,,3,4,,W0322,43.65033264,-79.49736599,304996.803,4834264.87
58,4155212,2017,,1949,PRIVATE,3,Etobicoke-Lakeshore,2692-2694 BLOOR ST W,4,40,2022-12-29,79,Evaluation needs to be conducted in 2 years,15,4,4,5,4,3,3,,4,,,4,5,5,4,4,4,,3,3,,W0322,43.65028257,-79.49786807,304956.297,4834259.305
59,4281915,2017,,1952,PRIVATE,2,Etobicoke Centre,6 BEXHILL CRT,4,13,2022-12-29,84,Evaluation needs to be conducted in 2 years,15,4,5,5,4,3,2,,4,,4,4,5,5,4,5,5,,4,,,W0229,43.66204496,-79.52133872,303063.01,4835567.277
60,4155375,2017,,1965,PRIVATE,2,Etobicoke Centre,287 MARKLAND DR,10,118,2022-12-29,80,Evaluation needs to be conducted in 2 years,19,3,4,5,4,4,4,3,4,4,5,3,4,5,4,4,3,5,4,4,,W0233,43.62753359,-79.57804943,298485.949,4831734.901
61,4155305,2017,,1979,TCHC,3,Etobicoke-Lakeshore,41 MABELLE AVE,19,350,2022-12-29,91,Evaluation needs to be conducted in 3 years,19,5,5,5,4,5,5,4,4,5,,4,5,5,4,5,5,4,4,3,5,W0321,43.64483798,-79.52771276,302548.527,4833654.887
62,4155302,2017,,1974,PRIVATE,3,Etobicoke-Lakeshore,52 MABELLE AVE,22,310,2022-12-29,77,Evaluation needs to be conducted in 2 years,19,5,4,5,5,4,4,3,3,4,4,3,4,5,4,3,4,4,3,2,,W0321,43.64640294,-79.5294507,302408.377,4833828.787
63,4152901,2017,,1957,PRIVATE,4,Parkdale-High Park,9 MORNINGSIDE AVE,4,36,2022-12-29,75,Evaluation needs to be conducted in 2 years,15,3,4,4,3,4,2,,4,4,,3,4,5,4,4,4,,4,,,S0430,43.64560523,-79.47346968,306924.468,4833740.943
64,4820405,2022,,1950,PRIVATE,3,Etobicoke-Lakeshore,2513 LAKE SHORE BLVD W,3,11,2022-12-29,81,Evaluation needs to be conducted in 2 years,15,4,4,4,4,3,4,,4,,4,4,5,5,4,4,4,,4,,,W0336,43.61177815,-79.48955489,305627.437,4829981.725
65,4155228,2018,,1962,PRIVATE,3,Etobicoke-Lakeshore,9 KINSDALE BLVD,4,23,2022-12-29,86,Evaluation needs to be conducted in 3 years,16,4,4,5,5,5,4,,4,,4,4,5,5,3,4,5,,4,4,,W0329,43.63526494,-79.49196659,305432.484,4832590.959
66,4153574,2017,,1991,SOCIAL HOUSING,13,Toronto Centre,330 DUNDAS ST E,4,29,2022-12-29,60,Evaluation needs to be conducted in 1 year,15,3,3,5,3,3,3,,4,,,3,3,1,2,2,2,,4,,4,S1329,43.65874827,-79.37021054,315252.836,4835207.824
67,4155515,2017,,1955,PRIVATE,3,Etobicoke-Lakeshore,24 SECOND ST,4,23,2022-12-29,83,Evaluation needs to be conducted in 2 years,15,4,4,5,3,4,3,,4,,,4,4,5,5,4,5,,4,4,,W0335,43.60096874,-79.49948099,304826.234,4828780.81
68,4156523,2017,,1950,PRIVATE,2,Etobicoke Centre,4750 DUNDAS ST W,4,14,2022-12-29,86,Evaluation needs to be conducted in 3 years,14,5,4,5,4,4,2,,4,,,4,5,5,4,5,5,,4,,,W0229,43.65260148,-79.52564518,302689.552,4834490.961
69,4156289,2017,,1950,PRIVATE,2,Etobicoke Centre,4752 DUNDAS ST W,4,14,2022-12-29,86,Evaluation needs to be conducted in 3 years,14,5,4,5,4,4,2,,4,,,4,5,5,4,5,5,,4,,,W0229,43.65239493,-79.52584584,302688.053,4834472.61
70,4156225,2017,,1950,PRIVATE,2,Etobicoke Centre,4754 DUNDAS ST W,4,14,2022-12-29,86,Evaluation needs to be conducted in 3 years,14,5,4,5,4,4,2,,4,,,4,5,5,4,5,5,,4,,,W0229,43.65220358,-79.52598378,302683.101,4834465.154
71,4153569,2017,,1988,SOCIAL HOUSING,13,Toronto Centre,223 SHERBOURNE ST,6,60,2022-12-29,54,Evaluation needs to be conducted in 1 year,17,2,3,5,1,2,3,2,3,3,,1,2,3,3,2,4,,4,,3,S1329,43.65822,-79.37064517,315217.87,4835149.078
72,4152941,2017,,1958,PRIVATE,4,Parkdale-High Park,205 KEELE ST,4,42,2022-12-29,71,Evaluation needs to be conducted in 2 years,15,5,4,5,3,3,2,,3,,,4,4,5,3,3,3,,3,3,,S0429,43.65971468,-79.46178789,307866.434,4835307.806
73,4155256,2017,,1962,PRIVATE,3,Etobicoke-Lakeshore,3 HILL HEIGHTS RD,4,38,2022-12-29,74,Evaluation needs to be conducted in 2 years,17,3,4,5,3,3,4,,4,,2,3,4,5,3,4,4,5,4,3,,W0327,43.63820457,-79.49316808,305335.532,4832917.528
74,4155482,2017,,1951,PRIVATE,3,Etobicoke-Lakeshore,51 STANLEY AVE,3,12,2022-12-29,86,Evaluation needs to be conducted in 3 years,16,4,4,5,5,3,5,,5,,4,5,5,3,4,4,4,,5,4,,W0336,43.61603938,-79.48967391,305617.776,4830455.127
75,4155410,2017,,1962,PRIVATE,2,Etobicoke Centre,416 THE WESTWAY,9,103,2022-12-29,69,Evaluation needs to be conducted in 2 years,18,3,3,4,3,4,4,,2,4,5,2,4,5,3,4,3,3,3,3,,W0221,43.68405275,-79.5656947,299487.999,4838013.037
76,4155272,2017,,1955,PRIVATE,3,Etobicoke-Lakeshore,34 RIVERWOOD PKWY,4,35,2022-12-28,83,Evaluation needs to be conducted in 2 years,16,5,4,5,4,4,4,,4,,,4,5,4,3,5,3,5,3,4,,W0327,43.6397937,-79.49032464,305564.983,4833094.093
77,4155288,2017,,1960,PRIVATE,3,Etobicoke-Lakeshore,186 STEPHEN DR,5,48,2022-12-28,82,Evaluation needs to be conducted in 2 years,18,3,5,5,3,5,4,,3,5,4,3,4,5,5,4,4,5,3,4,,W0327,43.6405302,-79.48884686,305685.065,4833173.273
78,4152629,2017,,1955,PRIVATE,21,Scarborough Centre,8 RANNOCK ST,4,33,2022-12-28,86,Evaluation needs to be conducted in 3 years,17,4,4,5,4,5,4,,4,,4,4,5,5,4,4,4,4,5,4,,E2131,43.72871709,-79.30006348,320891.929,4842992.248
79,4155058,2017,,1960,PRIVATE,8,Eglinton-Lawrence,1090 ROSELAWN AVE,5,62,2022-12-28,76,Evaluation needs to be conducted in 2 years,17,4,4,5,4,3,4,,3,4,,3,4,4,4,4,4,4,4,3,,N0831,43.70090281,-79.44914919,308883.057,4839884.115
80,4285401,2018,,1952,PRIVATE,20,Scarborough Southwest,6 FOLCROFT AVE,3,13,2022-12-28,75,Evaluation needs to be conducted in 2 years,16,3,4,4,3,3,4,,4,,3,4,4,5,3,4,3,,5,4,,E2035,43.70095769,-79.25149255,324829.314,4839934.355
81,4155487,2017,,1965,PRIVATE,3,Etobicoke-Lakeshore,2 SUPERIOR AVE,5,47,2022-12-28,80,Evaluation needs to be conducted in 2 years,17,4,5,4,3,4,4,,5,4,,3,4,5,4,5,3,4,4,3,,W0336,43.61433085,-79.48729779,305809.589,4830265.341
82,4155470,2017,,1977,TCHC,3,Etobicoke-Lakeshore,100 CAVELL AVE,7,300,2022-12-28,86,Evaluation needs to be conducted in 3 years,19,4,5,5,4,5,5,4,4,4,,4,5,5,4,4,3,5,4,3,5,W0336,43.61548767,-79.49699592,305026.782,4830393.808
83,4155230,2018,,1959,PRIVATE,3,Etobicoke-Lakeshore,65 CLOVERHILL RD,4,24,2022-12-28,75,Evaluation needs to be conducted in 2 years,17,4,4,5,4,3,4,,4,,3,3,5,5,3,4,4,3,3,3,,W0329,43.6354909,-79.49061125,305541.855,4832616.072
84,4155309,2017,,1959,PRIVATE,3,Etobicoke-Lakeshore,22 BURNHAMTHORPE RD,5,42,2022-12-28,73,Evaluation needs to be conducted in 2 years,18,3,3,5,3,4,4,,3,4,4,2,4,5,3,4,3,4,3,5,,W0321,43.64822744,-79.53034848,302335.758,4834032.463
85,4155308,2017,,1959,PRIVATE,3,Etobicoke-Lakeshore,24 BURNHAMTHORPE RD,5,42,2022-12-28,69,Evaluation needs to be conducted in 2 years,18,4,3,5,3,3,4,,4,4,3,2,4,3,3,3,3,4,3,4,,W0321,43.64842174,-79.53076092,302302.494,4834054.061
86,4155492,2017,,1952,PRIVATE,3,Etobicoke-Lakeshore,2555 LAKE SHORE BLVD W,4,26,2022-12-28,76,Evaluation needs to be conducted in 2 years,15,4,4,5,4,3,2,,4,,,4,5,5,3,4,4,,3,3,,W0336,43.60904324,-79.48983633,305704.944,4829683.294
87,4155490,2017,,1952,PRIVATE,3,Etobicoke-Lakeshore,2559 LAKE SHORE BLVD W,4,26,2022-12-28,81,Evaluation needs to be conducted in 2 years,15,4,4,5,4,3,3,,3,,,4,5,5,4,5,4,,4,4,,W0336,43.60909362,-79.48861615,305607.776,4829677.695
88,4155489,2017,,1952,PRIVATE,3,Etobicoke-Lakeshore,2561 LAKE SHORE BLVD W,4,14,2022-12-28,81,Evaluation needs to be conducted in 2 years,14,4,4,5,4,,3,,4,,,4,5,5,4,5,3,,4,3,,W0336,43.60886447,-79.49004353,305588.026,4829658.026
89,4155055,2017,,1959,PRIVATE,8,Eglinton-Lawrence,1040 CASTLEFIELD AVE,4,44,2022-12-28,86,Evaluation needs to be conducted in 3 years,17,5,4,5,4,5,4,,4,,4,4,4,5,4,5,4,,4,4,4,N0831,43.70104868,-79.4499999,308814.479,4839900.279
90,4155485,2017,,1957,PRIVATE,3,Etobicoke-Lakeshore,12 ALBERT AVE,3,12,2022-12-28,76,Evaluation needs to be conducted in 2 years,16,4,4,4,4,2,3,,4,,4,4,4,5,4,4,4,,3,4,,W0336,43.61588864,-79.48892376,305678.326,4830438.387
91,4155484,2017,,1950,PRIVATE,3,Etobicoke-Lakeshore,16 ALBERT AVE,3,18,2022-12-28,80,Evaluation needs to be conducted in 2 years,15,4,3,5,4,3,4,,4,,,5,4,4,5,3,3,,5,4,,W0336,43.61597708,-79.48911313,305663.04,4830448.21
92,4155285,2017,,1950,PRIVATE,3,Etobicoke-Lakeshore,6 KINGS POINT DR,3,16,2022-12-28,68,Evaluation needs to be conducted in 2 years,17,3,3,4,3,3,4,,4,,4,2,4,5,2,4,2,4,3,4,,W0327,43.63960957,-79.493646,305296.993,4833073.615
93,4269318,2017,,1958,PRIVATE,20,Scarborough Southwest,998 DANFORTH RD,3,21,2022-12-28,71,Evaluation needs to be conducted in 2 years,16,3,3,4,4,4,4,,4,,4,3,3,5,3,4,3,,4,2,,E2024,43.73523426,-79.24767167,325110.51,4843727.705
